countryorigin,countrydestination,origlon,origlat,destlon,destlat,Year,flights
Netherlands,United States of America,5.512217100965399,52.298700374441786,-112.5994359115045,45.70562800215178,2019,86817
Germany,United States of America,10.288485092742851,51.13372269040778,-112.5994359115045,45.70562800215178,2019,86817
France,United States of America,-2.8766966992706267,42.46070432663372,-112.5994359115045,45.70562800215178,2019,86817
Italy,United States of America,12.140788372235871,42.751183052964265,-112.5994359115045,45.70562800215178,2019,86817
Malaysia,Germany,109.6981484486297,3.725588425773716,10.288485092742851,51.13372269040778,2019,113196
Finland,United States of America,26.21176461029636,64.50409403963651,-112.5994359115045,45.70562800215178,2019,86817
Ireland,United States of America,-8.010236544877012,53.18059120995006,-112.5994359115045,45.70562800215178,2019,86817
Japan,France,138.06496213270776,37.66311081170466,-2.8766966992706267,42.46070432663372,2019,65285
Canada,United States of America,-98.14238137209708,61.46907614534896,-112.5994359115045,45.70562800215178,2019,86817
Argentina,United Kingdom,-65.17536077114173,-35.4468214894951,-2.8531353951805545,53.91477348053706,2019,133762
United Kingdom,United States of America,-2.8531353951805545,53.91477348053706,-112.5994359115045,45.70562800215178,2019,86817
Norway,United States of America,19.20896,69.003871,-112.5994359115045,45.70562800215178,2019,86817
Thailand,South Africa,101.00613354626108,15.01697499141648,25.04801387986168,-28.947033259979115,2019,2883
Finland,Thailand,26.21176461029636,64.50409403963651,101.00613354626108,15.01697499141648,2019,12637
Japan,United Arab Emirates,138.06496213270776,37.66311081170466,54.20671476159633,23.86863365334761,2019,24319
Finland,Germany,26.21176461029636,64.50409403963651,10.288485092742851,51.13372269040778,2019,113196
South Africa,Netherlands,25.04801387986168,-28.947033259979115,5.512217100965399,52.298700374441786,2019,38218
Japan,Germany,138.06496213270776,37.66311081170466,10.288485092742851,51.13372269040778,2019,113196
Sweden,United States of America,16.59626584684802,62.811484968080336,-112.5994359115045,45.70562800215178,2019,86817
Finland,Japan,26.21176461029636,64.50409403963651,138.06496213270776,37.66311081170466,2019,11533
